SleepHours,StudyWorkHours,ScreenTime,PhysicalActivity,SocialInteraction,AcademicWorkPressure,FinancialPressure,AnxietyLevel,MoodScore,RelationshipIssues,StressLevel
7.5,6,3,1.5,7,4,3,3,7,0,Low
8,5,2,2,8,3,2,2,8,0,Low
7,7,4,1,6,5,4,4,6,0,Medium
6,8,5,0.5,5,7,6,6,4,1,High
5,9,6,0,4,8,7,8,3,1,High
8.5,4,2,2.5,9,2,2,2,9,0,Low
7,6,3,1,7,4,3,3,7,0,Low
6.5,7,4,0.5,5,6,5,5,5,0,Medium
5.5,9,7,0,3,9,8,9,2,1,High
8,5,2,2,8,3,2,2,8,0,Low
7.5,6,3,1.5,7,4,3,3,7,0,Low
6,8,5,0.5,5,7,6,7,4,1,High
5,10,7,0,3,9,8,9,2,1,High
8,4,2,2,9,2,2,1,9,0,Low
7,7,4,1,6,5,4,5,6,0,Medium
6.5,7,5,0.5,5,6,5,6,5,1,Medium
5,9,6,0,3,8,8,8,3,1,High
8.5,5,2,3,9,2,1,2,9,0,Low
7,6,3,1.5,7,4,3,3,7,0,Low
6,8,6,0.5,4,7,7,7,4,1,High
5.5,9,7,0,3,9,8,9,2,1,High
8,5,2,2,8,3,2,2,8,0,Low
7.5,6,3,1.5,7,4,3,4,7,0,Low
6.5,7,4,0.5,5,6,5,5,5,0,Medium
6,8,5,0.5,5,7,6,6,4,1,High
5,10,8,0,2,9,9,9,2,1,High
7,5,3,1,7,4,3,3,7,0,Low
8,4,2,2.5,9,2,2,2,9,0,Low
6.5,8,5,0.5,5,6,6,6,5,0,Medium
5.5,9,7,0,3,8,8,8,3,1,High
7.5,6,3,1.5,8,3,3,3,7,0,Low
6,7,5,1,5,6,5,5,5,0,Medium
5,10,7,0,3,9,9,9,2,1,High
8,5,2,2,8,3,2,2,8,0,Low
7,6,4,1.5,7,4,3,4,7,0,Low
6.5,8,5,0.5,5,7,6,6,5,1,Medium
5.5,9,7,0,3,9,8,9,2,1,High
8.5,4,2,2.5,9,2,1,2,9,0,Low
7,6,3,1,7,4,3,3,7,0,Low
6,8,6,0.5,4,7,7,7,4,1,High
5,10,8,0,2,9,9,9,2,1,High
8,5,2,2,8,3,2,2,8,0,Low
7.5,6,3,1.5,7,4,3,3,7,0,Low
6.5,7,4,0.5,6,6,5,5,5,0,Medium
6,8,5,0.5,5,7,6,6,4,1,High
5,9,7,0,3,9,8,9,2,1,High
7,5,3,1.5,8,3,2,3,8,0,Low
8,4,2,2,9,2,2,1,9,0,Low
6.5,8,5,0.5,5,6,6,6,5,0,Medium
5.5,9,7,0,3,8,8,8,3,1,High
7.5,5,3,1.5,7,4,3,3,7,0,Low
6,7,5,1,5,6,5,5,5,0,Medium
5,10,7,0,3,9,9,9,2,1,High
8,5,2,2,8,3,2,2,8,0,Low
7,6,4,1.5,7,4,3,4,7,0,Low
6.5,8,5,0.5,5,7,6,6,5,1,Medium
5.5,9,7,0,3,9,8,9,2,1,High
8.5,4,2,3,9,2,1,2,9,0,Low
7,6,3,1,7,4,3,3,7,0,Low
6,8,6,0,4,7,7,7,4,1,High
5,10,8,0,2,9,9,9,2,1,High
8,5,2,2,8,3,2,2,8,0,Low
7.5,6,3,1.5,7,4,3,3,7,0,Low
6.5,7,4,0.5,6,6,5,5,5,0,Medium
6,8,5,0.5,5,7,6,6,4,1,High
5,9,7,0,3,9,8,9,2,1,High
7,5,3,1.5,8,3,2,3,8,0,Low
8,4,2,2,9,2,2,1,9,0,Low
6.5,8,5,0.5,5,6,6,6,5,0,Medium
5.5,9,7,0,3,8,8,8,3,1,High
7.5,5,3,1.5,8,3,3,3,7,0,Low
6,7,4,1,5,6,5,5,5,0,Medium
5,10,7,0,3,9,9,9,2,1,High
8,5,2,2,8,3,2,2,8,0,Low
7,6,4,1.5,7,4,3,4,7,0,Low
6.5,8,5,0.5,5,7,6,6,5,1,Medium
5.5,9,7,0,3,9,8,9,2,1,High
8.5,4,2,3,9,2,1,2,9,0,Low
